Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-75.795100,10.127300,180.000000,bottom
"R7","PSM60-081A-103B2","PSM60-081A-103B2",-88.992000,5.389000,0.000000,bottom
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.220900,12.489500,0.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.899900,15.232700,0.000000,top
"C3","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.260800,12.400600,-90.000000,top
"C4","10uF 16v","C_Elec_4x5.4",9.259800,8.133400,-90.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.949600,2.541700,90.000000,top
"C6","10uF 16v","C_Elec_4x5.4",64.911200,9.974900,-90.000000,top
"C7","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",15.876500,5.593400,180.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",34.050200,18.128300,90.000000,top
"J5","Conn_01x02","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",87.415600,19.830100,180.000000,top
"J6","Conn_01x03","JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal",76.696800,19.830100,180.000000,top
"J7","Conn_01x04","JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal",10.987000,19.830100,180.000000,top
"J8","Conn_01x04","JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal",26.887400,19.830100,180.000000,top
"J9","Conn_01x02","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",48.337700,19.830100,180.000000,top
"R1","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.042600,2.634300,180.000000,top
"R2","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.080700,4.183700,180.000000,top
"R3","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.523000,5.542600,180.000000,top
"R4","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.373000,7.269800,180.000000,top
"R5","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.373000,8.793800,180.000000,top
"R6","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.387000,10.343200,180.000000,top
"R8","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",23.915600,10.394000,0.000000,top
"R9","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",23.915600,8.806500,0.000000,top
"R10","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",23.979100,7.219000,0.000000,top
"R11","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",24.017200,5.669600,0.000000,top
"R12","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.699700,12.413300,180.000000,top
"R13","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.399700,13.442000,180.000000,top
"R14","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.178200,1.580200,0.000000,top
"R15","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.399700,11.905300,180.000000,top
"R16","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",35.626300,1.237300,180.000000,top
"R17","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.152800,3.104200,0.000000,top
"R18","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.140100,11.778300,0.000000,top
"R19","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.348900,14.991400,0.000000,top
"R20","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",61.901300,3.675700,-90.000000,top
"R21","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.175600,4.679000,180.000000,top
"R22","0r","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.124800,10.292400,180.000000,top
"U3","ATtiny804-SS","SOIC-14_3.9x8.7mm_P1.27mm",30.189400,6.812600,0.000000,top
"U4","L293DD","L293DD",49.201300,7.346000,0.000000,top
